빌리다	pv
빌붙다	pv
빗기다	pv
빗대다	pv
빗맞다	pv
빚지다	pv
빠르다	pv
빠지다	pv
빤하다	pv
빨갛다	pv
빼내다	pv
빼놓다	pv
빼닮다	pv
빼쏘다	pv
뺨치다	pv
뻔하다	pv
뻗치다	pv
뻘겋다	pv
뻣세다	pv
뽀개다	pv
뽀얗다	pv
뽑히다	pv
뿌옇다	pv
사귀다	pv
사놓다	pv
사르다	pv
삭이다	pv
삭히다	pv
살리다	pv
살지다	pv
살찌다	pv
살피다	pv
삶기다	pv
삼키다	pv
새기다	pv
새우다	pv
샘솟다	pv
생하다	pv
서둘다	pv
석이다	pv
섞이다	pv
선보다	pv
선뵈다	pv
설익다	pv
설키다	pv
설하다	pv
섥히다	pv
섬기다	pv
섯돌다	pv
세내다	pv
세놓다	pv
세우다	pv
센하다	pv
셈하다	pv
속이다	pv
속하다	pv
손꼽다	pv
손대다	pv
손들다	pv
손보다	pv
손쓰다	pv
손잡다	pv
솟구다	pv
솟보다	pv
쇠하다	pv
수놓다	pv
수많다	pv
수없다	pv
숙이다	pv
순하다	pv
숨기다	pv
숨지다	pv
숨차다	pv
숱하다	pv
스미다	pv
스치다	pv
습하다	pv
시렵다	pv
시리다	pv
시키다	pv
식히다	pv
싱겁다	pv
싸돌다	pv
싸매다	pv
싸안다	pv
싸이다	pv
싸잡다	pv
싸쥐다	pv
싹트다	pv
쌓이다	pv
써내다	pv
써넣다	pv
써먹다	pv
썩이다	pv
썩히다	pv
쏘이다	pv
쏠리다	pv
쑤시다	pv
쓰이다	pv
쓸리다	pv
씌우다	pv
씨우다	pv
씹히다	pv
씻기다	pv
아뢰다	pv
아리다	pv
아물다	pv
악물다	pv
안갉다	pv
안갚다	pv
안걷다	pv
안겯다	pv
안곪다	pv
안곯다	pv
안괴다	pv
안굳다	pv
안굵다	pv
안긁다	pv
안긋다	pv
안기다	pv
안긷다	pv
안깁다	pv
안깊다	pv
안깎다	pv
안깔다	pv
안꺽다	pv
안꺾다	pv
안꼬다	pv
안꽂다	pv
안꾸다	pv
