품사	단어	
NC	이산화탄소	
NC	인문학	
NC	인센티브	
NC	인스턴트	
NC	인질극	
NC	인치	
NC	인터넷	
NC	인터넷판	
NC	인터뷰	
NC	인턴십	
NC	인테리어	
NC	인텔리전트	
NC	인프라	
NC	인플레이션	
NC	일러스트	
NC	일식	
NC	임업	
NC	임정	
NC	입자	
NC	잉글리시	
NC	잉여	
NC	자극제	
NC	자동차업	
NC	자매결연	
NC	자연계	
NC	자유투	
NC	장르	
NC	장마	
NC	장마철	
NC	장원	
NC	장타	
NC	장타력	
NC	재무제표	
NC	재정학	
NC	재즈	
NC	재테크	
NC	저작권	
NC	저작권료	
NC	적분	
NC	적시타	
NC	전폭	
NC	정보학	
NC	정시	
NC	제곱	
NC	제구	
NC	제구력	
NC	제스처	
NC	제스츄어	
NC	제조업	
NC	젯밥	
NC	조과	
NC	조산	
NC	조선	
NC	좌중월	
NC	주가	
NC	주루	
NC	주세	
NC	주파수	
NC	중개업	
NC	중공업	
NC	중력	
NC	중앙선	
NC	증권업	
NC	증명서	
NC	지구촌	
NC	지병	
NC	지점망	
NC	지정학	
NC	지진	
NC	지출액	
NC	질환	
NC	찌라시	
NC	차상	
NC	차트	
NC	채팅	
NC	천문학	
NC	천식	
NC	천체	
NC	천태종	
NC	철	
NC	철광석	
NC	철주	
NC	체인지업	
NC	체크인	
NC	초구	
NC	최고상	
NC	추모제	
NC	추상화	
NC	축하연	
NC	출루	
NC	출조	
NC	취급고	
NC	카운터	
NC	칼럼	
NC	칼로리	
NC	캐릭터	
NC	캐스팅	
NC	캐주얼	
NC	캠페인	
NC	캠프	
NC	커리큘럼	
NC	컨벤션	
NC	컨설팅	
NC	컨셉	
NC	컨소시엄	
NC	컨테이너	
NC	컨퍼런스	
NC	컬럼	
NC	컬렉션	
NC	컴백	
NC	컴퓨팅	
NC	코리안	
NC	코멘트	
NC	코미디	
NC	코믹	
NC	코스닥	
NC	코칭	
NC	콘텐트	
NC	콤팩트	
NC	쿠폰	
NC	쿼터	
NC	퀴즈	
NC	크리스마스	
NC	클로즈업	
NC	키스	
NC	킥	
NC	타겟	
NC	타석	
NC	타선	
NC	타순	
NC	타율	
NC	타이밍	
NC	타이틀	
NC	타이핑	
NC	타점	
NC	탄소	
NC	탈삼진	
NC	태그	
NC	태극기	
NC	테라	
NC	테마	
NC	테크놀로지	
NC	테크니컬	
NC	토건	
NC	토익	
NC	토큰	
NC	토플	
NC	토픽	
NC	통계학	
NC	통신업	
NC	투구	
NC	투매	
NC	투수력	
NC	투심	
NC	투타	
NC	트래블	
NC	트랙	
NC	트레이딩	
NC	트림	
NC	특별법	
NC	특별상	
NC	파이낸셜	
NC	파일	
NC	파트너십	
NC	파티션	
NC	판타지	
NC	팝	
NC	패널	
NC	패러다임	
NC	패러디	
NC	패션	
NC	패스트	
NC	패치	
NC	패턴	
NC	퍼레이드	
NC	퍼블리싱	
NC	퍼블릭	
NC	퍼스널	
NC	페미니즘	
NC	펜티엄	
NC	폐열	
NC	포럼	
NC	포맷	
NC	포스터	
NC	포털	
NC	폭탄주	
NC	폭투	
